Month,Ozone
2/27/2019,21
3/2/2019,1
3/6/2019,6
3/9/2019,5
3/13/2019,18
3/16/2019,30
3/20/2019,10
3/23/2019,24
3/27/2019,16
3/30/2019,21
4/3/2019,16
4/6/2019,15
4/10/2019,12
4/13/2019,4
4/17/2019,1
4/20/2019,3
4/24/2019,6
4/27/2019,2
5/1/2019,5
5/4/2019,6
5/8/2019,1
5/11/2019,6
5/15/2019,7
5/18/2019,2
5/22/2019,7
5/25/2019,1
5/29/2019,3
6/1/2019,6
6/5/2019,17
6/8/2019,9
6/12/2019,5
6/15/2019,8
6/19/2019,4
6/22/2019,3
6/26/2019,1
6/29/2019,13
7/3/2019,40
7/6/2019,4
7/10/2019,7
7/13/2019,13
7/17/2019,19
7/20/2019,5
7/24/2019,22
7/27/2019,1
7/31/2019,14
8/3/2019,3
8/7/2019,8
8/10/2019,35
8/14/2019,10
8/17/2019,18
8/21/2019,12
8/24/2019,5
8/28/2019,9
8/31/2019,14
9/4/2019,4
9/7/2019,11
9/11/2019,6
9/14/2019,11
9/18/2019,14
9/21/2019,1
9/25/2019,37
9/28/2019,15
10/2/2019,4
10/5/2019,6
10/9/2019,5
10/12/2019,12
10/16/2019,1
10/19/2019,14
10/23/2019,5
10/26/2019,3
10/30/2019,19
11/2/2019,3
11/6/2019,15
11/9/2019,14
11/13/2019,23
11/16/2019,14
11/20/2019,7
11/23/2019,28
11/27/2019,15
11/30/2019,15
12/4/2019,8
12/7/2019,18
12/11/2019,24
12/14/2019,3
12/18/2019,14
12/21/2019,19
12/25/2019,2
12/28/2019,20
1/1/2020,49
1/4/2020,1
1/8/2020,2
1/11/2020,3
1/15/2020,39
1/18/2020,20
1/22/2020,11
1/25/2020,2
1/29/2020,9
2/1/2020,12
2/5/2020,23
2/8/2020,35
2/12/2020,14
2/15/2020,16
2/19/2020,10
2/22/2020,25
2/26/2020,8
2/29/2020,24
3/4/2020,18
3/7/2020,7
3/11/2020,4
3/14/2020,9
3/18/2020,15
3/21/2020,2
3/25/2020,5
3/28/2020,7
4/1/2020,33
4/4/2020,8
4/8/2020,2
4/11/2020,22
4/15/2020,10
4/18/2020,4
4/22/2020,1
4/25/2020,1
4/29/2020,2
5/2/2020,13
5/6/2020,7
5/9/2020,12
5/13/2020,39
5/16/2020,8
5/20/2020,18
5/23/2020,2
5/27/2020,38
5/30/2020,13
6/3/2020,1
6/6/2020,1
6/10/2020,10
6/13/2020,2
6/17/2020,7
6/20/2020,10
6/24/2020,15
6/27/2020,9
7/1/2020,15
7/4/2020,16
7/8/2020,3
7/11/2020,14
7/15/2020,27
7/18/2020,13
7/22/2020,16
7/25/2020,5
7/29/2020,7
8/1/2020,6
8/5/2020,7
8/8/2020,2
8/12/2020,2
8/15/2020,5
8/19/2020,13
8/22/2020,19
8/26/2020,8
8/29/2020,5
9/2/2020,1
9/5/2020,15
9/9/2020,27
9/12/2020,16
9/16/2020,10
9/19/2020,11
9/23/2020,8
9/26/2020,11
9/30/2020,14
10/3/2020,18
10/7/2020,6
10/10/2020,5
10/14/2020,21
10/17/2020,6
10/21/2020,1
10/24/2020,18
10/28/2020,11
10/31/2020,2
11/4/2020,23
11/7/2020,14
11/11/2020,13
11/14/2020,7
11/18/2020,4
11/21/2020,51
11/25/2020,2
11/28/2020,8
12/2/2020,28
12/5/2020,3
12/9/2020,11
12/12/2020,17
12/16/2020,4
12/19/2020,27
12/23/2020,6
12/26/2020,10
12/30/2020,3
1/2/2021,3
1/6/2021,1
1/9/2021,14
1/13/2021,4
1/16/2021,14
1/20/2021,40
1/23/2021,5
1/27/2021,17
1/30/2021,1
2/3/2021,5
2/6/2021,1
2/10/2021,15
2/13/2021,20
2/17/2021,1
2/20/2021,4
2/24/2021,4
2/27/2021,2
3/3/2021,21
3/6/2021,11
3/10/2021,17
3/13/2021,5
3/17/2021,34
3/20/2021,1
3/24/2021,4
3/27/2021,6
3/31/2021,3
4/3/2021,1
4/7/2021,27
4/10/2021,14
4/14/2021,13
4/17/2021,10
4/21/2021,21
4/24/2021,22
4/28/2021,16
5/1/2021,35
5/5/2021,16
5/8/2021,12
5/12/2021,1
5/15/2021,4
5/19/2021,11
5/22/2021,3
5/26/2021,2
5/29/2021,11
6/2/2021,6
6/5/2021,44
6/9/2021,19
6/12/2021,8
6/16/2021,19
6/19/2021,4
6/23/2021,13
6/26/2021,8
6/30/2021,24
7/3/2021,26
7/7/2021,8
7/10/2021,1
7/14/2021,33
7/17/2021,15
7/21/2021,27
7/24/2021,1
7/28/2021,25
7/31/2021,1
8/4/2021,5
8/7/2021,7
8/11/2021,12
8/14/2021,6
8/18/2021,35
8/21/2021,16
8/23/2021,17
8/25/2021,27
8/28/2021,12
8/30/2021,3
9/1/2021,10
9/4/2021,32
9/6/2021,11
9/8/2021,9
9/11/2021,20
9/13/2021,37
9/15/2021,1
9/18/2021,5
9/20/2021,37
9/22/2021,20
9/25/2021,22
9/27/2021,21
9/29/2021,2
10/2/2021,28
10/4/2021,12
10/6/2021,1
10/9/2021,12
10/11/2021,11
10/13/2021,23
10/16/2021,30
10/18/2021,30
10/20/2021,7
10/23/2021,10
10/25/2021,10
10/27/2021,3
10/30/2021,5
11/1/2021,9
11/3/2021,1
11/6/2021,8
11/8/2021,21
11/10/2021,19
11/13/2021,8
11/15/2021,5
11/17/2021,3
11/20/2021,40
11/22/2021,7
11/24/2021,10
11/27/2021,8
11/29/2021,18
12/1/2021,12
12/4/2021,10
12/6/2021,3
12/8/2021,3
12/11/2021,3
12/13/2021,10
12/15/2021,19
12/18/2021,2
12/20/2021,2
12/22/2021,7
12/25/2021,27
12/27/2021,36
12/29/2021,2
1/1/2022,6
1/3/2022,2
1/5/2022,6
1/8/2022,20
1/10/2022,14
1/12/2022,12
1/15/2022,3
1/17/2022,9
1/19/2022,11
1/22/2022,8
1/24/2022,11
1/26/2022,4
1/29/2022,2
1/31/2022,10
2/2/2022,18
2/5/2022,5
2/7/2022,5
2/9/2022,2
2/12/2022,8
2/14/2022,16
2/16/2022,22
2/19/2022,3
2/21/2022,2
2/23/2022,6
2/26/2022,15
2/28/2022,7
3/2/2022,19
3/5/2022,8
3/7/2022,10
3/9/2022,13
3/12/2022,19
3/14/2022,21
3/16/2022,3
3/19/2022,8
3/21/2022,1
3/23/2022,31
3/26/2022,2
3/28/2022,11
3/30/2022,3
4/2/2022,6
4/4/2022,2
4/6/2022,6
4/9/2022,6
4/11/2022,5
4/13/2022,14
4/16/2022,15
4/18/2022,8
4/20/2022,20
4/23/2022,10
4/25/2022,12
4/27/2022,11
4/30/2022,14
5/2/2022,18
5/4/2022,37
5/7/2022,4
5/9/2022,18
5/11/2022,5
5/14/2022,6
5/16/2022,7
5/18/2022,40
5/21/2022,14
5/23/2022,1
5/25/2022,19
5/28/2022,2
5/30/2022,27
6/1/2022,11
6/4/2022,14
6/6/2022,2
6/8/2022,22
6/11/2022,18
6/13/2022,2
6/15/2022,19
6/18/2022,10
6/20/2022,3
6/22/2022,6
6/25/2022,6
6/27/2022,11
6/29/2022,8
7/2/2022,9
7/4/2022,15
7/6/2022,32
7/9/2022,14
7/11/2022,4
7/13/2022,22
7/16/2022,3
7/18/2022,14
7/20/2022,10
7/23/2022,39
7/25/2022,25
7/27/2022,1
7/30/2022,4
8/1/2022,15
8/3/2022,9
8/6/2022,8
8/8/2022,32
8/10/2022,29
8/13/2022,19
8/15/2022,20
8/17/2022,23
8/20/2022,5
8/22/2022,12
8/24/2022,6
8/27/2022,2
8/29/2022,13
8/31/2022,7
9/3/2022,18
9/5/2022,4
9/7/2022,3
9/10/2022,38
9/12/2022,6
9/14/2022,9
9/17/2022,5
9/19/2022,7
9/21/2022,6
9/24/2022,3
9/26/2022,13
9/28/2022,6
10/1/2022,8
10/3/2022,2
10/5/2022,26
10/8/2022,13
10/10/2022,3
10/12/2022,14
10/15/2022,32
10/17/2022,19
10/19/2022,6
10/22/2022,19
10/24/2022,18
10/26/2022,19
10/29/2022,19
10/31/2022,13
